500228,重庆市梁平县
500101,重庆市万州区
500102,重庆市涪陵区
500103,重庆市渝中区
500104,重庆市大渡口区
500105,重庆市江北区
500106,重庆市沙坪坝区
500107,重庆市九龙坡区
500108,重庆市南岸区
500109,重庆市北碚区
500110,重庆市綦江区
500111,重庆市大足区
500112,重庆市渝北区
500113,重庆市巴南区
500114,重庆市黔江区
500115,重庆市长寿区
500116,重庆市江津区
500117,重庆市合川区
500118,重庆市永川区
500119,重庆市南川区
500191,重庆市北部新区
500192,重庆市万盛经开区
500223,重庆市潼南县
500224,重庆市铜梁县
500226,重庆市荣昌县
500227,重庆市璧山县
500229,重庆市城口县
500230,重庆市丰都县
500231,重庆市垫江县
500232,重庆市武隆县
500233,重庆市忠县
500234,重庆市开县
500235,重庆市云阳县
500236,重庆市奉节县
500237,重庆市巫山县
500238,重庆市巫溪县
500240,重庆市石柱土家族自治县
500241,重庆市秀山土家族苗族自治县
500242,重庆市酉阳土家族苗族自治县
500243,重庆市彭水苗族土家族自治县